$username$series_id$user_rate$user_comment$series_rating$series_rating_count
22$tru3$878161$9$Bardzo dokładnie zakomponowany, zainscenizowany i niezwykle wprost koherentny serial ze znaczącymi kreacjami aktorskimi. Dla koneserów i wielbicieli krzyżówek.$8.43655$23191
23$tru3$871819$6$Fajny pomysł (choć niedopracowany), doskonała obsada za to scenariusz i reżyseria bez polotu. Zostanie w pamięci przemiana Seweryna i intensywność Marii Peszek.$6.48097$13793
24$tru3$10010614$7$Sfilmowany komiks który mówi o tym, że miłość nastolatków nie musi być sensacją nawet wtedy gdy to geje i lesbijki! W tle sama Olivia Colman.$7.49757$8636
25$tru3$852646$4$Nierówny serial o tym jak bardzo lubimy być oszukiwani i jak imponują nam tupecierze (tutaj tupeciarki). Początek niezły, potem coraz gorzej. Aktorsko plateau.$5.82465$12512
26$tru3$863212$9$Serial lepszy niż niejeden film kinowy - skupiony, uważny, śmiały w konstrukcji, brawurowy w aktorstwie. Wybitna opowieść o amerykańskich czarnych niewolnikach$7.33863$1574
27$tru3$876630$5$"Czuje się wyraźnie że to ""format"" który nie został wymyślony w zgodzie z polskim poczuciem humoru czy choćby naszym poziomem samorefleksji. Ale bawi, nie boli!"$6.73873$11092
28$tru3$841842$6$Od czasu japońskiego BATTLE ROYAL było już wiele takich konceptów. Ten jednak jest w połowie gorszy a w połowie lepszy od innych. Odcinki 6/7 zaskakują jakością$7.28879$104265
29$tru3$868116$8$Po prawie pół wieku od premiery filmu Ingmara Bergmana jego serialowy remake okazuje się nieoczekiwaną sensacją psychologiczną w duchu pandemicznego kryzysu.$7.79772$12814
30$tru3$10000087$5$Osobowość Spike'a Lee okazała się dla niego samego atrakcyjniejsza od przedstawianych wydarzeń w Nowym Jorku. Są dobre momenty ale jednak to pomnik egocentryzmu$6.63584$173
31$tru3$819951$8$Dobra angielska robota BBC. Do tego serial proroczy także dla Polski. Niestety :( Emma Thompson w roli toksycznej populistycznej polityczki kogoś nam przypomina$7.85234$10409
32$tru3$808109$5$Słaby scenariusz spowodował, że cała intryga 2 sezonu Rojsta jest nieciekawa. Aktorstwo nierówne. Casting wątpliwy. Najlepsza jest scenografia choć ma wady.$7.2344$67530
33$tru3$875491$8$Największa niespodzianka sezonu letniego 2021. Zabawna z pozoru opowieść o gościach luksusowego hotelu na Hawajach staje się przenikliwą satyrą niczym Parasite.$7.67484$40515
34$tru3$848813$5$Halston - zapomniany gigant amerykańskiej mody i przyjaciel od serca i narkotyków Lizy Minnelli. Serial miał go wyciągnąć z zapomnienia. Nie dał rady.$6.83489$4506
35$tru3$849761$9$Wybitny serial kryminalny, w którym Kate Winslet ustanawia nowy standard serialowej jakości. Jej kreacja byłaby na miarę Oscara, gdyby to był film. Pokłony!$7.95262$39831
36$tru3$848204$8$Serial kryminalny zrobiony na światowym poziomie. Intryga jest naprawdę wciągająca a gra aktorska z wysokiej półki. Rola Arkadiusza Jakubika brawurowa. Brawo!$7.73306$20810
37$tru3$835321$8$"Czy może być ""Przystanek Alaska"" au rebours? Może! W ""Witamy na odludziu"" mamy taki ""Przystanek"" tylko suto posypany aromatem ""Fargo"". Wkręca i rozgrzewa."$7.53412$2301
38$tru3$849603$7$Serial wymyślony przed pandemią zdumiewa dziś tym, jak bardzo zmieniło się życie. Seks wśród studentów, kobiecy orgazm, siła dotyku? Warto sobie przypomnieć!$6.35372$31519
39$tru3$810557$6$Zmyślnie skonstruowany serial kostiumowy łączący podszytą wyuzdaniem poprawność dworską z intelektualną perwersją przewrotnych anachronizmów.$6.8484$36630
40$tru3$846393$7$Trzy prostytutki decydują się na ucieczkę z domu publicznego, którego są niewolnicami, jak kiedyś Thelma i Louise uciekały z mieszczańskiego życia.$6.31832$6660
41$tru3$848063$8$Twórca ikonicznego serialu QUEER AS FOLK wraca w dobrej formie. Opowieść o epidemii AIDS wśród gejów w Anglii lat 80 chwyta za serce a ostatni odcinek za gardło$7.79777$7279
42$tru3$810751$9$Ten serial jest jak monolit - wszystkie elementy na bardzo wysokim poziomie. Do tego świetne, uczciwe tłumaczenie na polski, co nie zdarza się często. Brawo.$7.87458$70652
43$tru3$847745$7$Serial wręcz terapeutyczny dla wrażliwców i introwertyków niespecjalnie odnajdujących się w grupie równolatków. Świetnie zagrany.$7.74485$23782
44$tru3$858073$6$Serial pozagatunkowy bo jest w nim wszystko z dobrym aktorstwem włącznie, ale trochę wygląda jak ładny kawałek bursztynu z którego nie wiadomo co zrobić.$6.85069$13978
45$tru3$806858$6$"Nicole Kidman śpiewa coraz lepiej: piosenkę ""Dream A Little Dream Of Me"", którą słyszymy w czołówce, nagrała przy pomocy męża, Keitha Urbana, i to słychać!"$7.20466$34819
46$tru3$779456$8$Bardzo udany serial, zasługujący na wszystkie nagrody jakie dotychczas dostał. Ma się wrażenie jakby Król Lear opowiedziany został w stylu Dynastii.$8.41167$37003
47$tru3$747284$8$Bardzo dobrze zrobiona historia brytyjskiej korony w czasach panowania królowej Elżbiety II. 1-3 sezon było jakościowo. 4 sezon - do tego jeszcze sensacyjnie.$8.2016$90458
48$tru3$833526$8$Polski PEAKY BLINDERS trzyma poziom i klasę choć pachnie zapożyczoną z brytyjskiego serialu konwencją. Niezwykła staranność i uważność budzi podziw.$7.51054$16843
49$tru3$840024$8$Anya Taylor-Joy jest aktorskim objawieniem na miarę czasów, w których żyjemy: tajemnicza, trochę autystyczna - bardziej z komiksu czy animacji niż z życia.$8.14727$158021
50$tru3$807247$6$Kolejny serial z imperium Ryana Murphy'ego: efektowny, dobrze zrealizowany, pokrętny mentalnie, zaburzony gatunkowo. Nie groteska polityczna, raczej komedyjka.$7.01937$4542
51$tru3$803080$7$Zadziwiająca mieszanka emocji. Od plastikowej słodyczy rodem z telenoweli do obyczajowej wolty niczym u Almodovara aż po surrealizm wprost od Bunuela. Wciąga.$7.29333$3075
52$tru3$839661$5$Kryminał Cobena przetransponowany na polskie warunki. Widać ambitny zamiar, ale wykonawczo nie całkiem się udało. Grzegorz Damięcki w głównej roli zawiódł.$6.66061$57733
53$tru3$836931$6$Pod pretekstem opowieści o przywódczyni amerykańskich konserwatystek dostajemy historię II fali feminizmu. Solidny choć twardy w gryzieniu serial.$7.71431$6885
54$tru3$837556$7$"Feministyczna, groteskowa opowieść o Katarzynie II ma tyle wspólnego z historią Rosji co serial ""Alo, Alo"" z historią II wojny światowej. Ma też wdzięk i jajo."$7.57907$16461
55$tru3$792933$5$Nieudany serial, w którym nie widać ręki Damiena Chazelle. Stracona okazja dla Joanny Kulig żeby mocno wejść do światowego kina. Krok w bok a nie do przodu :($6.32269$3381
56$tru3$833064$6$Efektownie zrobiona wydmuszka z trucizną sączącą się ze środka: mieszając prawdę z kłamstwem na temat Hollywoodu robi widzom większy mętlik w głowie niż mają.$6.92498$9758
57$tru3$839229$4$Słabiutkie, żeby nie powiedzieć tandetnie zrobione, naśladownictwo historii w rodzaju Stephena Kinga. Postacie papierowe, aktorstwo udawane, przyjemność żadna.$6.52374$19649
58$tru3$824412$8$"Serial-przypowieść w zaskakujący sposób podsuwający pomysł jak żyć i co uznawać za ważne w świecie ""nowej normalności""."$7.85014$45804
59$tru3$769619$10$Najbardziej brawurowy serial łączący paroksyzmy śmiechu i szarpnięcia serca. Mądry, oryginalny, nowoczesny, śmiały, otwarty myślowo. Kurczę, co za talent PW-B!$8.37945$34903
60$tru3$848385$7$Ucieczka 19-letniej Estery ze społeczności nowojorskich ortodoksyjnych Żydów do Berlina w stylu Hallmarku. Kobieca dłubanka emocjonalna bez cech wybitności.$7.55108$53705
61$tru3$769361$6$Męski serial bez maskulinizmu. Morski ale bez morza (prawie). Historyczny ale fantastyczny. Jest w nim zimno od początku do końca ale odrąbywane palce nie bolą.$7.45532$13909
62$tru3$817228$9$Fantastycznie zagrany miniserial biograficzny o genialnym choreografie Bobie Fosse (Kabaret) i gwieździe Broadwayu, Gwen Verdon. Jest w nim prawda o artystach!$7.74957$2316
63$tru3$817405$4$Scenariuszowa plątanina ogranych schematów udająca sensację. Reżyseria bez polotu, aktorzy przeciętni za to bardzo ładni.$6.65478$11245
64$tru3$809758$6$Dużo dobrze poprowadzonych wątków o seksie ale całość średnia a Gillian Anderson rozczarowująca. Szkoda.$7.60402$117882
65$tru3$836895$6$Zgrabnie zrobiony serial dla nastolatków o tym, że inność w grupie da się uzasadnić ale i tak jest trudno z nią żyć.$6.48028$23247
66$tru3$833065$6$"Sprawny, staranny historyczny serial francuski; świetne tło dla filmu Polańskiego ""Oficer i szpieg"", bo rozgrywa się dokładnie w tym samym czasie i miejscu."$7.25988$3240
67$tru3$724464$7$Trudno się rozkręca ale od 3 odcinka już wciąga. Dobra rzemieślnicza robota bez oznak wybitności. Ciekawe aktorstwo. Henry Cavill jako Geralt trafiony.$7.13155$177783
68$tru3$810089$7$Nadspodziewanie udana kontynuacja Netflixa poprzednich sezonów produkowanych przez PBS i Showtime. Książki Armisteada Maupina to klasyk literatury LGBT.$6.69866$2542
69$tru3$804769$5$Serial nierówny. Odcinki reżyserowane przez Holland gorsze niże te robione przez Smoczyńską. Scenariusz błahy, dialogi sztuczne, aktorstwo niestabilne. Muza OK.$6.27317$36409
70$tru3$786525$9$Wybitne spotkanie utalentowanych ludzi: Żulczyka, Skoniecznego, Frycza, Więckiewicza, Chabiora, Malikowskiej, Pazury i Nożyńskiego w roli gł. Sukces jak cholera$7.76569$122831
71$Cateborough$861178$8$Wszystkie nagrody świata dla Davida Tennanta!$7.30294$12844
72$smolinskisebastian$641457$10$Prawie rok chyba z Patrycją oglądaliśmy, ale to nasz ulubiony typ dokumentu: multi-perspektywiczny, złożony, starający się nie upraszczać. Duża polecajka.$8.6522$1958
73$smolinskisebastian$817228$7$Zawyżam o oczko z szacunku i pod wrażeniem Michelle Williams.$7.74957$2316
74$smolinskisebastian$804769$7$Może to i dziurawe oglądadło, ale - jestem zaskoczony - całkiem niezgorsze! Połknąłem w trybie binge-watch.$6.27317$36409
75$smolinskisebastian$808109$6$"Jest ""style"", ale niekoniecznie porywający ""storytelling"". Szkoda!"$7.2344$67530
76$smolinskisebastian$806787$8$[Netflix] Świetny, ale chciałoby się obejrzeć drugie tyle, bo wiele wątków zostaje porzuconych i niedopowiedzianych. Ale wciąż: lektura obowiązkowa.$7.04067$2041
77$smolinskisebastian$750359$7$[Pierwszy sezon]$8.31727$281511
78$smolinskisebastian$745557$9$Witherspoon, Kidman, Woodley, Dern... Szacun, Jean-Marc Vallée, chyba masz w sobie to coś.$8.15361$91498
79$smolinskisebastian$772367$10$Polifoniczny, szlachetnie postmodernistyczny, mamuci dokument, który wciąga jak najlepsze kino sądowe i pozostawia w poczuciu społecznego mindfucku.$8.32414$2684
80$smolinskisebastian$37003$9$Genialne balansowanie między horrorem a zgrywą, galeria niepodrabialnych postaci i cudowna amerykańska (nad)naturalność.$8.48075$110522
81$makina13$10011885$8$Polski serial na światowym poziomie, o młodzieży, która nie jest wieszakiem na ubrania, ale ma uczucia, emocje, marzenia i robi wszystko po raz pierwszy, brawo$7.27186$1258
82$makina13$658891$10$Jeden z najlepszych seriali kryminalnych w historii, wszystkie sezony wspaniałe$8.33119$8107
83$makina13$371185$7$rzecz kultowa, choć nierówna, ale David Duchovny wart wszystkiego$7.6912$150014
84$makina13$595358$9$jedno z arcydzieł telewizji 20 wieku$7.93513$64822
85$makina13$779456$10$NIeprzyzwoicie dobry i aktualny, te dialogi to prawdziwe złoto, czekam na sezon 3.$8.41167$37003
86$makina13$873567$3$wielka pomyłka pod niemal każdym względem$6.64423$22610
87$makina13$430668$9$jeden z najlepszych seriali w historii$8.80558$287475
88$makina13$876029$8$wspaniała rozrywka$7.54907$12665
89$makina13$10017539$9$Najlepszy serial komediowy nakręcony w PL od lat$7.51812$10291
90$makina13$10028811$5$potwornie nierówny i zbyt długi, potrzeba nożyczek montażowych!$6.03373$2105
91$makina13$10006625$7$Daje 7 za obsadę- brawo za świetnych, młodych aktorów$4.44706$7867
92$klaracykorz$800686$9$Powtórka, nigdy nie będzie miał tego ciężaru co w pandemii, but still$7.76008$54552
93$klaracykorz$10005539$5$To mogła być cudna wolta gatunkowa na pożegnanie, ale postaci źle rozstawione, za dużo kruków za ogon$7.00204$5398
94$klaracykorz$10012801$7$Nosz w mordę! Plus cała jedna gwiazdka za kadrowanie finałowo-cliffhangerowej sceny$6.7932$353
95$klaracykorz$850219$7$Soczyste jak najlepszy Stephen King, tyle że o dziewczynkach/kobietach, co się zjadają wzajemnie$6.98374$4059
96$klaracykorz$814408$9$Pasożyty ze Staten Island wciąż najśmieszniejsze w całej telewizji$7.99695$17355
97$klaracykorz$876029$7$Drugi sezon lepszy niż pierwszy, same dobre intuicje w tym teatrze$7.54907$12665
98$klaracykorz$10011557$6$Podobnie jak zeszłoroczne Dziecko, obwąchuje metaforę z wielu stron; są momenty świetne, momenty meh i momenty ugh, ale baaaaardzo do pogadania$5.79487$273
99$klaracykorz$876285$4$Lepszy od 2 sezonu Euforii, gdyby wyciąć tego typa + dorzucić kilka trupów, wyszłoby klimatyczne giallo$4.29771$7000
100$klaracykorz$10014243$5$Hot obsada, ale scenariusz żaden, niestety$7.86547$22374
101$klaracykorz$851246$3$Fantastyczne postaci, których nigdy nie dogania intryga, a może po prostu reżyseria; napięcie czułam dziwnie rzadko, może sama jestem zbyt wściekła ¯\_(ツ)_/¯$7.4552$15202
102$klaracykorz$10032226$7$Och, a więc to będzie Rok Dziwnych Seriali$5.92045$88
103$klaracykorz$10032064$8$Cuda + mutacje + mommy issues + Święty Graal + ciasto z dzieciną + skok w wieloryba // Albo komedia przygodowo-biblijna, słodka jak dżem$6.79884$865
104$klaracykorz$10025677$6$Nie wiem czy wszystko działa, ale DMC + Jack Farthing = duet roku??$7.05636$550
105$klaracykorz$10006055$8$Nareszcie dobry współczesny serial o dorosłej polskiej kobiecie / 2 sezon jest wybitny! <333$7.2927$1165
106$klaracykorz$10030364$8$Hmmm jeszcze nie wiem, ale Dominique Fishback robi postać roku$6.79027$1316
107$klaracykorz$854751$7$Dobry sezon 1, ambitny 2, fatalny 3 </3$8.23024$15975
108$klaracykorz$10027121$7$Trochę rozkoszy, trochę niespełnionych obietnic$6.42324$723
109$klaracykorz$10014510$7$Kobieta uciekająca na tropie! Pozdrowienia z Kansas czy tam Kolorado$7.10336$1577
110$klaracykorz$592691$8$Mistrzyni!$7.73228$1524
111$klaracykorz$853682$4$"Dużo lepsze od ekranizacji ""Genialnej przyjaciółki"", zaczyna się b. fajnie, dobre zdjęcia i obsada, tylko potem traci fokus, za mało Valerii Golino!"$6.13254$845
112$klaracykorz$703470$10$Doskonałość$7.87269$3959
113$klaracykorz$820838$9$Trzeci sezon jest WYBITNY$7.47479$1091
114$klaracykorz$10016663$2$Slow but boring$6.18161$892
115$klaracykorz$862320$2$Tak słabej adaptacji Gaimana jeszcze nie było - zupełny brak wyobraźni + wspaniała obsada przeżuwająca z bólem trociny dialogów$7.09927$22354
116$klaracykorz$817092$5$Niespełniona ekranizacja wybitnych książek, ale i tak ciekawsza niż większość fantastycznych superprodukcji (no ale ja bym wolała coś bardziej artsy-szalonego)$7.19858$15389
117$klaracykorz$10007737$6$Niby nudy, a jednak wracałam wiernie co tydzień do tego świata, gigantów górujących nad Londynem i wspaniałego kobiecego drugiego planu$6.95659$6220
118$klaracykorz$849875$8$O Boziu! My poor Tory babies!!!$6.57907$1309
119$klaracykorz$842583$7$Bez wyobraźni, ale bez fuszerki (na tle konkurencji urywa głowę); dosko obsada, najlepsza sekwencja że smokami. Tw porody i poronienia, poza tym Rozkosz Pulpy$7.60766$40753
120$klaracykorz$10007020$7$Dwoje klasycznych Moffacich mądrali, pastor, jego żona i ich kudłate dziecię; Steven Moffat nie u szczytu, ale jednak w bdb formie$6.13881$7341
121$klaracykorz$831201$8$No dobra, to jest jednak mistrzostwo formy (wcześniej się obraziłam za odcinek o Rwandzie)$6.86637$681
122$klaracykorz$801752$10$Miłość! https://krytykapolityczna.pl/kultura/film/klara-cykorz-derry-girls-zywiol-smiechu-kontra-przemoc/$7.6464$6677
123$klaracykorz$803060$7$Klasyczna FARSA MIESZKANIOWA, nie wiem czemu nie do obejrzenia w PL, skoro to właściwie nasza narodowa odmiana komedii, i to o Londynie znanym rodakom$6.19231$26
124$klaracykorz$10010614$5$Zupełnie nie jestem targetem tych słodkości, ale jeśli 2 sezon będzie się skupiał na Tao i Elle, będę oglądać! (Tradycyjnie świetny brytyjski casting młodych)$7.49757$8636
125$klaracykorz$10011976$5$Lekkie i skoczne, ale rozczarowujące dla ultraski Assayasa https://www.dwutygodnik.com/artykul/10223-paryz-pecznieje-od-nudy.html$6.11646$893
126$klaracykorz$877025$9$krajobraz + czas + żałoba + galeria osobliwych dorosłych + willie jack https://www.dwutygodnik.com/artykul/9932-wrazliwosci-dzieci-i%C2%A0duchy.html$7.2228$579
127$klaracykorz$10004648$7$Słodziaki!$7.13783$341
128$klaracykorz$10000233$8$Po to jest telewizja$6.55238$105
129$klaracykorz$10013509$5$GenQ lepiej zrobiło proporcje komentarza społecznego/miłosnej dramy, plus scenarzyści są tak obraźliwie niezainteresowani rodzicielstwem + Ryan O'Connel bdb$5.84314$51
130$klaracykorz$849407$7$Zagadki w słonecznym Bath - najlepiej$6.5814$129
131$klaracykorz$767468$9$Zazie w metrze z bagietką!$8.12974$8841
132$klaracykorz$872284$2$Mogła być Binoszka na tropie sowy-zabójczyni, a jest Firth w roli buły bez seksapilu, wątek medialny ledwo liźnięty, i rodzina chyba brzydko potraktowana$6.5883$8426
133$klaracykorz$870330$7$Niewidziany człowiek na śmieszno, w zupełnie zaskakujący sposób https://krytykapolityczna.pl/kultura/film/klara-cykorz-hacks-stewardesa-stworzona-do-milosci/$6.66951$1640
134$klaracykorz$873390$7$Dwie niemiłe divy, jedna duża druga mała https://krytykapolityczna.pl/kultura/film/klara-cykorz-hacks-stewardesa-stworzona-do-milosci/$7.31955$2394
135$klaracykorz$10009732$7$Bardzo ciekawa podróż pewnej metafory, warto, nawet jeśli kończy się na przystanku adultyzm + bdb obsada!$5.82718$596
136$klaracykorz$856019$9$"AMBIKA MOD! + pod koniec jak ktoś mówi ""private"", zaczynasz wyć"$7.8522$4276
137$klaracykorz$10013885$5$Erin Doherty wspaniała, skleja intrygę której naprawdę przydałoby się pójść mocniej w wątek klasowy$6.21484$256
138$klaracykorz$803061$5$ale czemu to nie jest fantastyczny, 2-i-pół-godzinny film?$7.42531$7063
139$klaracykorz$846721$7$tru crime i list miłosny (na wielu poziomach, w końcu to scenariusz napisany dla wybitnej żony). pozdrawiam, gerard depardieu$6.85605$5627
140$klaracykorz$849761$4$Widzka się zżywa, a potem następuje zdrada i jakiś bzik bio-esencjalistyczny jak z Dekalogu; wspólnota jak zwykle zbudowana kosztem najsłabszych$7.95262$39831
141$klaracykorz$867954$8$Marylin Monroe of Greater Manchester is here$7.29412$17
142$klaracykorz$10004514$8$Klasyczny Dexter, czyli rodzinne perypetie rodziny Morganów, emocjonalnie się wszystko spina, przemoc, ojcowie, synowie, strzelby$7.5034$9269
143$klaracykorz$798465$6$Reżyseria metodą cukier w cukrze, ALE Emily Watson jest NAJLEPSZĄ Marmee; Annes Elwy najlepszą Beth; do tego kury i jedyny wiarygodny ship z Bhaerem!$7.2987$2069
144$klaracykorz$819953$10$The horniest show on television!!! Jak również jeden z najlepszych / najbardziej czułych / zmysłowych / miejskich / itd.$6.96637$684
145$klaracykorz$833777$3$Rozczarowanie, oglądać tylko dla Merritt Wever$5.67101$1766
146$klaracykorz$850641$9$I Love Billie$6.39035$228
147$klaracykorz$800337$7$(Szczególnie piąty odcinek wyreżyserowany przez Cheryl Dunye z Wunmi Mosaku w roli głównej)$5.7684$5285
148$klaracykorz$853691$7$Wspaniały mały serial, który nabiera pewności w drugim sezonie, Walia jak Polska, Garbielle Creevey będzie gwiazdą$7.1$20
149$klaracykorz$843582$9$I remember damage. Then escape. Then adrift... But I'm safe now. I found it again. (Mój pierwszy tak ukochany serial od roku? Prawie dwóch?)$6.86112$2189
150$klaracykorz$874762$8$Nareszcie prawdziwy serial o prawdziwych ludziach w prawdziwej pracy, fenomenalna obsada, i widać że pisze to córka nauczycielki #rel$7.10894$973
151$klaracykorz$849236$9$Kocham wszystkie żałobne seriale pana Mike'a, ale ten jest artystycznie najlepszy, jedna ze wspaniałości roku$6.40449$13590
152$klaracykorz$10000239$7$po pilocie, który jest do chrzanu, wyłania się procedural o porażce, pogoń za seryjnym mordercą, w której wszystko idzie nie tak + czaderskie stylówy teixeiry$5.66346$208
153$klaracykorz$811495$9$wspaniały serial o lisie kapitalisie (odmiana z florydy: aligator ludojad), kirsten dunst + cudaczny theodore pellerin, polecam wszystkim polakom!!!$6.7363$1077
154$klaracykorz$10003773$7$Tak naprawdę to jest serial o opiece, odpowiedzialności, więziach itd. Bilal Baig jest cudowna. Przy 2 sezonie powinna rozwinąć skrzydła najpiękniej na świecie.$5.94444$18
155$klaracykorz$848063$7$Widać co poszło pod nóż, by serial miał ledwie 5 odcinków; ale Callum Scott Howells to objawienie$7.79777$7279
156$klaracykorz$751170$9$Mistrzostwo formatu + obsada + melancholia$7.63287$1509
157$klaracykorz$812250$8$the best of małych brytyjskich komedii niezręczności, Charly Clive jest CUDOWNA$6.57724$123
158$klaracykorz$832323$8$Scooby Doo do góry nogami, żartobliwe surrealistyczne maleństwo, love$5.84211$228
159$klaracykorz$853554$9$W poetyce blurba: najważniejszy serial roku (i jeden z moich ulubionych). MICHAELA! Also: introwertyczny Paapa Essiedu, cudowny$7.41428$4888
160$klaracykorz$847745$6$Paul Mescal wspaniały, im dalej w las, tym lepiej, ale te klasowe rzeczy przestrzelone$7.74485$23782
161$klaracykorz$798013$6$No jest to przedziwny serial, z jednej strony jeden z najpiękniejszych w telewizji i najbardziej miejskich, z drugiej - nie zawsze dobrze pisany$6.70833$96
162$ksiawcik_13$10041729$7$Dokument jak garderoba bohatera: uporządkowany (za bardzo), bogaty w konteksty, choć z embargiem na brudy. Aż chce się to podziwiać i coś dla siebie uszczknąć.$7.86203$7690
163$ksiawcik_13$809758$8$s1-9/10, s2-8/10, s3-8/10, s4-6/10$7.60402$117882
164$ksiawcik_13$10014243$5$Masz mizofonię? Trzymaj się od tego z daleka. Hałas jako stylistyczne PUSTE kalorie jest tu doprowadzony do ekstremum. Potrawka, zaledwie potrawka.$7.86547$22374
165$ksiawcik_13$860894$6$Klisz jest tu cała ciężarówka, ale Żulczyk anegdociarsko przymruża oko, Borcuch umie w gustowne laurki, Szyc ma urok jak mało kto. Udzieliła mi się ta fantazja!$6.07103$4885
166$ksiawcik_13$10035856$7$Szwarcy daje świadectwo bycia człowiekiem. Człowiekiem z mięśni, motywacji i autopromocji. Dokument-laurka, a mimo tego bohater fascynujący!$7.36604$3863
167$ksiawcik_13$878$7$Zgodnie z zasadą sequela: jeszcze więcej duchów, groteski i czarnego humoru. Szkoda tylko, że vonTrierowskie przeciąganie struny odbywa się kosztem Tajemnicy.$7.85253$5384
168$ksiawcik_13$629$8$(Nie)smaczny miks lekarskiej opery mydlanej, MIASTECZKA TWIN PEAKS i humorystycznej wersji LŚNIENIA. Słowem: von Trier w jednym z najlepszych wydań.$7.96855$9889
169$ksiawcik_13$750359$6$$8.31727$281511
170$ksiawcik_13$10026084$6$Wciąga i trzyma (oj, bardzo) wbrew uprzedzeniom wobec dyscypliny. Popularyzatorsko i wyrywkowo o tenisie jako niemal wyłącznie mentalnym starciu charakterów.$6.85985$1163
171$ksiawcik_13$640699$7$$8.30981$170129
172$ksiawcik_13$10014957$8$Niestworzone rzeczy! Czyli opowieść o tym, jak gwiezdno-wojenni twórcy efektów specjalnych zmienili oblicze kina, popkultury, technologii i ziemi. Tej ziemi.$7.98533$409
